waktu,clean_text
2024-12-08,ini penipuan kah? modus nya seperti apa?
2024-12-07,psa: penipuan sedot saldo bank via notifikasi web browser chrome dkk di hape
2024-12-03,ini penipuan bukan ya?
2024-11-23,is this a new scam method?
2024-11-12,masyarakat kota singkawang diminta waspada penipuan aktivasi ikd
2024-11-11,psa : hati-hati penipuan berkedok lowongan kerja dan investasi (bodong). ternyata ada yang modifikasi pig butchering scam
2024-10-31,"warganet keluhkan modus penipuan berkedok layanan pajak imbas data bocor, ini kata dirjen pajak"
2024-10-19,"share pengalaman hampir tertipu, penipu yang mengatasnamakan shopee express."
2024-10-10,ada yang bisa menjelaskan apa yang terjadi?
2024-10-10,ditelpon 2 kali nomor gak dikenal dan dikirimin otp
2024-10-03,apakah ini modus penipuan/jebakan baru?
2024-09-27,"dapet ini dari email, modus penipuan baru?"
2024-09-13,update 14-september injustice system
2024-09-05,"puji undip diduga lakukan penipuan, donasi rp40 juta untuk bayar ukt malah dipakai beli iphone dan dugem"
2024-09-03,penipuan apa saja yang ada di indonesia?
2024-08-26,tips trick mengenali penipu online (agustus 2024 edition)
2024-07-28,"pelik , dekat sana yang menipu pulak dibela. kenapa begitu?"
2024-07-24,ibu saya kena penipuan transfer uang untuk dapat hadiah. apa yang bisa saya lakukan?
2024-07-16,"semenjak adanya kasus penyalahgunaan data pelamar, apakah mulai sekarang sebaiknya melamar itu cukup melampirkan cv atau resume saja?"
2024-07-08,mau iseng bikin dating show buat temen
2024-07-03,"grifter youth programs, edutrips, exchange, dkk kenapa marak ya di indo?"
2024-07-01,"anggota keluarga kena scam ""cashback donasi bantu anak"" puluhan juta. apk network logs inside"
2024-06-29,"ditangkap di abu dhabi, wn china buron kasus penipuan 800 wni dibawa ke ri"
2024-06-06,anyone else annoyed when people say kirain cuma di indonesia aja (insert something negative/bad) ?
2024-05-14,"what should i do? sepupu kena scam, dan kredivo dan shopee paylater tertarik atas nama dia?"
2024-05-12,apa ini penipuan ?
2024-05-10,apakah ini benar-benar penipuan?
2024-05-06,"kasus penipuan nikah sesama pria di cianjur, ""pengantin wanita"" mengaku bernama adinda kanza"
2024-04-26,penipuan
2024-04-24,kena scam penipuan segitiga
2024-04-07,"bagaimana cara kita memberhentikan orang tua atau orang terdekat kita yang tertarik dengan hal-hal sejenis penipuan (seperti skema kerja online, dapat uang cepat dan mudah, dan penipuan produk kecantikan atau kesehatan)?"
2024-02-11,ini penipuan bukan?
2024-02-08,"what's your most memorable ""kehilangan uang"" story, and how did it end?"
2024-02-06,punten mau cerita sedikit
2024-02-05,penipuan lowongan kerja
2024-01-17,beasiswa bank adb (asian development bank) ?
2024-01-15,"saya terima kode verifikasi sms, padahal tidak pernah minta, sudah beberapa kali terima sih tapi selalu saya abaikan. kenapa bisa ada sms ini, apa trigger nya? bagaimana supaya tidak terjadi lagi?"
2024-01-07,bertanya keaslian tour agency
2024-01-03,apakah boleh mengambil ponsel secara kredit? (is it normal to pay for phone with instalments)
2024-01-03,gua kena tipu kek nya pelaku bisa di troll
2024-01-03,do anyone also recieving this?
2023-12-28,penipuan dengan modus grup telegram
2023-12-05,"psa: sebagian toko di olshop sudah menaikkan harga, mungkin biar nanti waktu 12.12 bisa penipuan ""diskon 90"" or some such. jadi hati2 tergiur sama , mending lihat harga final aja."
2023-11-09,waspada modus seller tokopedia penipuan rating tokonya bagus tapi order barang gak sesuai
2023-11-01,saya perlu khawatur nggak?
2023-10-27,modus penipuan vua telpon era 2010an
2023-10-26,ada panduan buat beli rumah second? pengalaman pertama
2023-10-21,loker penipuan gini ni
2023-10-10,penipuan
2023-10-07,help adik saya lagi distalk? atau ini penipuan?
2023-10-05,"saya terjerat kasus money laundering, dan saya butuh saran"
2023-10-01,sebuah prestasi
2023-09-29,scam? dapat telpon dari 60 - malaysia number.
2023-09-17,kenapa banyak chindo yang kena kasus kriminal besar akhir-akhir ini
2023-09-15,i managed to delete google question scam answers / berhasil menghapus akun scam di google answers
2023-09-01,kerja tanpa pengalaman? apakah memang sulit di indonesia atau harus keluar rumah buat cari?
2023-08-31,puluhan wna diamankan polisi atas kasus penipuan berkedok vcs kabar siang tvone
2023-08-30,hati hati penipuan wa klik view
2023-08-26,new scam method voice-over job
2023-08-24,hati-hati modus penipuan di fitur qa google business profile
2023-08-22,dapat missed call dari nomor hongkong
2023-08-10,"mau tanya, surat tilang seperti ini asli dari polantas atau nggak?"
2023-08-07,scam atau bukan?
2023-07-19,"komodos yang pernah kena penipuan / scam, what's your story?"
2023-07-09,mental parental issue
2023-07-05,lowongan bagi lulusan luar negeri
2023-07-02,dugaan modus penipuan baru
2023-06-22,keluarga kena penipuan
2023-05-23,harapan korban penipuan tiket coldplay: uang kembali dan dapat tiket gratis
2023-05-23,kemlu ri bebaskan 20 wni di myanmar yang disiksa dan diperbudak sindikat penipuan online
2023-04-27,"""trading"" di lingkup ""emak -emak"""
2023-04-19,scam atau beneran
2023-04-12,duality of man
2023-04-10,kang tipu semakin cerdas
2023-03-31,ini device masih aman atau tidak ya?
2023-03-21,cara stop spam call dari penipu? (telepon rumah)
2023-03-21,"""sumatera utara itu keras, bang"" 2021 edition."
2023-03-09,crazy rich surabaya wahyu kenzo ditangkap dalam kasus dugaan penipuan robot trading
2023-02-15,tips agar telepon penipuan bisa berlanjut?
2023-02-10,penipuan baru
2023-01-16,"korban penipuan transfer langsung rekening bank, apakah duit bisa kembali?"
2023-01-10,"butuh advice untuk mengatasi penipu, mengatasnamakan toko saya."
2023-01-03,adulting susah bgt gila?
2022-11-22,"wn libya marah-marah di bareskrim, mengaku laporkan penipuan tetapi malah diperas jenderal polri"
2022-11-22,penipuan bri lagi. mohon bantu bikin kapok nomor wa itu
2022-11-11,"wkwk, sudah pasti ini akun penipuan bot (atau bukan), tapi gw tau pasti yang baca replynya no komen"
2022-09-23,"marak penipuan atas nama pejabat pemkot surabaya, warga diminta waspada"
2022-09-14,almost cheated online shopping at tokopedia
2022-09-07,penipuan online jasa kerja sampingan modus like shopee
2022-09-04,what to look for saat beli gpu online di indonesia?
2022-08-25,"di circle kamu, kripto konotasinya apa? untung besar? penipuan? judi? dll?"
2022-08-07,ada pengacara menawari teman saya bisa pake narkoba legal seharga 20 jt
2022-08-02,penipuan sumbangan 2 triliun oleh anak akidi tio
2022-08-02,pengalaman kena scam berkedok agen travel
2022-07-17,indian looking to travel to bali in october
2022-07-14,"penggugat palsukan tanda tangan, mk: cabut permohonan atau dilaporkan polisi"
2022-06-23,"mt, terduga penipuan bansos covid 19 di jepang dideportasi hari ini"
2022-06-21,"gue kira ga akan kena penipuan lewat telepon, ternyata gue salah"
2022-06-21,gimana cara lapor penipuan ?
2022-06-20,"yang pengalaman pake akulaku, pernah gak dapet spam dari nomor gak dikenal pdhal gak ada tagihan?"
2022-06-13,"ada yang tau kalo gini model penipuan yang gimana lagi? kecuali ngabisin waktu sama uang buat ongkir, masih ga paham apa untungya buat si penipu."
2022-05-28,modus penipuan
2022-04-20,apakah benar transaksi dengan kartu kredit dan qris lebih aman dibandingkan dengan kartu debit?
2022-04-15,ada yg pernah belanja di tokopedia kena penipuan?
2022-04-12,"menurut kalian, siapa dan peristiwa start-up/penipuan dari indonesia apa yang harus ada adaptasi film/serialnya?"
2022-03-22,"penipuan quot;robot tradingquot; fahrenheit capai rp 5 triliun, lebih mengerikan; dari kasus indra kenz dan doni salmanan - kompas.com"
2022-02-27,adik gue punya fetish dan gue bingung gimana nasehatin
2022-02-19,apakah ada cara efektif buat lapor penipu di indonesia?
2022-02-16,korban penipuan
2022-02-09,"tinder swindler, local?"
2021-12-15,"ketua pp di blora dibekuk kasus penipuan, penggelapan, dan narkoba"
2021-11-21,apa yang terjadi apabila seseorang dalam keluarga melakukan tindakan kriminal?
2021-11-17,twitter sebagai mainan para politikus
2021-10-27,"ada yang pake pt rifan financindo? share pengalaman dong, sama eli5-nya kalau ada."
2021-10-18,ada agen wahana disini? mau tanya soal daftar agen
2021-10-16,penyalur tki ke korea?
2021-10-12,ceo jouska aakar abyasa ditetapkan jadi tersangka penipuan-tppu
2021-08-05,s3 penipuan
2021-07-14,pengalaman teman yang kena fitnah gara-gara penipuan pinjol
2021-07-03,"wni terjebak di jepang: korban penipuan, kerja serabutan, ilegal"
2021-06-22,teknik penipuan baru - wa call dari nomor luar negeri?
2021-05-29,dugaan penipuan cod
2021-05-06,tips nipu balik penipu sms
2021-04-19,ask pengalaman beli rumah subsidi daerah bekasi. need advice!
2021-04-14,apa yg harus dilakukan jika menerima surat somasi tagihan hutang kartu kredit dr law firm?
2021-04-01,data finansial / purchases pada bocor atau diperjual belikan atau gimana sih?
2021-03-11,penipuan berkedok jual perabotan rumah tangga
2021-02-28,polisi virtual dalam konteks.
2021-01-27,gimana caranya ngelaporin penipuan online ke pihak yang berwajib?
2021-01-06,"ada penipuan di e-commerce grab toko, investor gelapkan dana"
2020-12-18,"question for illustrator/designer, pls help"
2020-11-16,black money scam
2020-11-10,ratusan korban penipuan desak pimpinan bri pamekasan kembalikan uang
2020-09-19,"ada yang pernah denger jd union, alimama, dsb? penipuan?"
2020-07-07,seseorang mengatasnamakan suatu perusahaan asuransi mensurvei perihal kartu kredit. modus penipuan baru?
2020-05-13,daily/weekly thread khusus jual-beli untuk komodos
2020-05-11,"follow up dari postingan ""penipuan sedot wc"", buat kita2 orang awam yg kurang ngerti masalah teknis (contoh servis barang elektronik, sedot wc, plumbing, kendaraan, dll) gimana caranya menghindari pemerasan/penipuan jauh di luar harga normal oleh tukang servis?"
2020-05-07,is this new scam?
2020-04-12,modus penipuan baru melalui oneklik bca
2020-03-25,i just got scammed. beware! especially to everyone in jogja.
2020-03-24,penipuan masker
2020-01-06,penipu: jangan ditutup telponnya!
2019-12-06,modus operandi penipuan/ pencurian di kota bandung (lengkap dengan lokasi)
2019-11-07,"korban penipuan mobil murah akumobil 1.342 orang, kerugian hingga rp 100 m"
2019-11-01,modus penipuan bagi penjual online (bukan cuma pembeli yang ditipu!). hati-hati!
2019-10-03,"terkena penipuan, butuh saran"
2019-09-30,tata cara lapor cyber crime ke polri?
2019-09-13,super mewah! rumah bos penipuan pt qnet bermodus mlm di pasuruan
2019-08-09,penipu nyoba nipu malah ditipu calon penipuan
2019-07-11,kids these days. unbelievable (tl;dr)
2019-07-10,"hati hati marak penipuan go-pay, pengalaman pribadi"
2019-04-04,kelakuan caleg-caleg partai pendatang baru
2019-03-07,mengapa andi arief bisa bebas
2019-01-21,"mendagri jadi korban penipuan, rp10 juta raib"
2018-12-20,penipuan berkedok lowongan kerja rs siloam
2018-08-31,penipuan via telpon
2018-07-31,please help me identify: is this a scam for jobseekers?
2018-06-13,modus penipuan berkedok menang undian disertai pemaksaan
2018-03-28,anggota dpr soal penipuan umrah: kementerian agama bangsat semua!
2018-03-19,"saya membuat website (adukan.id) untuk menghandle pengaduan tentang konten negatif, any thoughts?"
2018-02-01,gaya bos sbl tersangka penipuan pamer mobil mewah di medsos
2018-01-25,modus baru penipuan kah?
2018-01-03,first travel hingga hannien tour: kenapa penipuan umrah berulang?
2018-01-01,bitcoin dan uang kertas
2017-12-24,"buron 4 bulan, 2 tersangka kasus penipuan biro umrah rp 8 miliar tertangkap"
2017-11-22,dapat telpon aneh kemaren.
2017-09-21,penipuan.via tokopedia?
2017-08-14,kisah tragis nasib bos first travel. dari pegawai minimarket hingga gelapkan uang jemaah umrah
2017-08-12,warga green pramuka laporkan pengelola ke mabes polri atas tuduhan pengelapan dan penipuan.
2017-06-21,"jika usai menerima sms kode verifikasi my telkomsel, lalu ditelepon orang tak dikenal, awas, itu penipuan. sumber:"
2016-10-14,"""even a broken clock is right twice a day"""
2016-06-26,eli5: ada orang ngaku blak blakan di media kalo dia lakuin penipuan. kok ngga ditahan?
2016-06-19,"tempo, teman-teman ahok, dan kill the messenger"
2014-09-14,"macbook pro bekas mid 2012 kok ada yang jual harga murah, kok ada yang mahal? yg murah bisa cuman 3juta, yang mahal bisa 9juta? apakah yang murah itu produk palsu penipuan?"
2025-01-01,"foto blur karena tangan tremor menahan emosih dan takut digendam baru saja berapa jam lalu setelah buka puasa. lagi duduk nyantai, tiba-tiba ada tingtong dan""pakeeet!"". saya biasanya paling ogah buka pintu kalau saya nggak merasa order barang dan suami nggak titip pesan bahwa dia lagi order barang. saya tulis di tembok teras untuk lempar paketnya ke teras kecuali ada peringatan barang mudah pecah. tapi ini si kurir tetap di depan, akhirnya saya buka pintu. saya:""buat siapa ya?"" kurir:""febiola"" saya:""oh iya bentar"" saya cabut kunci untuk buka pagar depan saya mau terima karena biasanya suami order pakai nama saya. kurir:""cod ya."" sambil buka ikatan paket dari jok motornya saya:""cod? barang apaan?"" lalu saya ambil barangnya yang merupakan kotak besar dengan berat sekitar 3-4 kg dan dibungkus bubblewrap hitam dengan total belanja sekitar 264.xxx,-. saya lihat label pengirimannya dari tokope dan memang data saya dari mulai nama, alamat (lengkap dengan ancer-ancer yang saya tulis di data diri di akun tokpe saya), dan nomor hp semua sama persis dengan data yang biasa saya gunakan. isi barangnya ada sekitar 6 item yang semuanya merupakan peralatan dapur seperti sarung tangan oven, panci, dll. padahal saya ke dapur maksimal buat masak nasi suami saya nggak pernah pesan barang dengan sistem cod. jadi saya pastikan itu bukan pesanan suami saya. namun saya tetap telepon suami saya untuk memastikan siapa tau dia kesambet nyuruh saya berkutat di dapur, tapi tidak diangkat-angkat. karena sistem cod yang 'bukan suami saya banget' dan barang-barang yang 'nggak saya banget', akhirnya saya pastikan itu bukan pesanan suami. kurir:""tapi ini data kakak kan?"" dengan ekspresi mulai resah dan terkesan mau cepat selesai saya:""iya bener data saya, nih liat akun saya nunjukin data diri di akun saya, nih liat riwayat pesanan saya, nggak ada pesen apa-apa nunjukin riwayat transaksi"" si kurir seperti tidak mau tau dengan apa yang saya tunjukan, kurir:""punya suami kakak mungkin, kak"" saya:""suami saya nggak mungkin beliin peralatan dapur, mas. apalagi saya yang suruh bayar. saya nggak pernah pegang cash. bawa lagi aja, mas. bukan orderan saya."" akhirnya si kurir membawa kembali paket itu. lalu saya curcol di instagram story. dan ternyata saya kudet soal penipuan modus terbaru ini. begini penjelasan teman saya. andai saya tau itu penipu, saya pasti minta uang ke anak saya buat bayar paketnya biar abangnya pulang membawa hasil. tapi cuma ada 11.000,-. makanya saya suruh anak saya narik lagi. jadi begitulah, teman-teman. kalau ada yang masih punya kebiasaan ceroboh seperti saya:dapet paket - buka dengan sembarang - langsung buang bungkusnya, harap segera diperbaiki ya. supaya nggak jadi sasaran empuk tipu-tipu berhubung saya pemalas dalam gunting-menggunting sampai kecil-kecil, jadi saya langsung beli alat ini seharga 74.500,-. sekalian hancuran kertasnya dikumpulin buat litterbox kucing sekian dan terima kasih sudah membaca! . edit tambahan: ""kenapa nggak kontak sellernya untuk tanya siapa yang order?"", jawabannya adalah saya tidak menemukan nama toko tersebut ketika saya search nama tokonya (yang susah itu; yang terdiri dari gabungan beberapa huruf konsonan); ""bisa aja tokonya langsung ganti nama."", jawabannya adalah jatah ganti nama di tokpe hanya bisa 1x. jadi total sama nama toko awal cuma 2x nama aja. butuh berapa banyak dia bikin toko palsu yang mesti dia ganti namanya biar dapet cuan, apalagi 1 toko cuma dapet cuan 264.xxx,- ""kasian kurirnya disalah-salahin,bisa aja dia juga korban"",jawabannya adalah jika anda yang mengalami, anda akan rasakan sendiri sensasinyah! saya hampir tiap hari dalam seminggu terima kirim paket, bahkan dengan ekspedisi yang masih jarang dipakai orang. jadi cukup paham gimana gerak-geriknya, gimana penampilannya, siapa yang biasa anter-jemput di area saya, dsb. kenapa saya nggak foto muka kurirnya aja? karena saya masih yakin dia kurir beneran. keyakinan saya 20. jadi yhaaa entahlah. semua orang dipersilakan mau berpositive atau negative thinking. titik beratnya di sini adalahteliti dengan paket yang datang dan hati-hati dengan data pribadi. demikian dan terima thr!"
2022-01-01,"hari ini, baru saja buka warung, tiba-tiba ada panggilan masuk ke ponsel istri, "" halo, saya andi dr koramil, mau pesen nasi box bisa? "" suara dr seberang telepon. sebenarnya, nomor ini baru dan tidak kami kenal, tapi selama kami jualan, memang sering terjadi, dan biasanya kami selalu positif thinking, mungkin orang ini tahu info tentang kami dr org"" yg sudah mencoba dan merasa puas dan merekomendasikan. "" saya mau pesan 60 box harganya brp? "" kata suara itu. "" satu box pkt lengkap tahu tempe 25k pak. tinggal dikali aja jd 1 juta 500 ribu. "" "" saya psn besok diambil jam 5 sore ya, nomor rekeningnya brp bu? "" istri saya lantas memberikan nomor rekening bca saya ke org tsb. beberapa saat kemudian, "" bu sdh saya tf ya. "" "" oh iya pak, terimakasih, tapi koq lebih ya? lbh 900k. "" "" oh iya, aduh bendahara saya berarti slh tf, bisa tolong tf balik bu? takutnya ntr atasan nge-cek. "" saya cek m-banking saya, tp blm ada uang masuk, saya berusaha berpikir positif, mungkin ada gangguan sistem. akhirnya saya putuskan tf duluan sisa uangnya dngn alasan menjaga hubungan awal yg baik dengan pembeli. "" sdh saya tf balik ya pak. "" "" oh iya makasih bu. "" selang beberapa lama, saya cek di m-banking, ternyata uang tsb tdk masuk jg, saya mulai curiga, dan melihat bukti tf tsb, palsu atau bukan. tp lihat sendiri khan, bukti tf benar"" asli. bandingkan 2 gambar di bawah, atas dr si andi, bwh asli. benar"" perfect 100 akhirnya saya telepon teman saya yg org bank jg, tebak apa katanya dan apa yg ia temukan, seketika saya lemes, langsung sadar sdh jd korban penipuan, padahal uang yg saya tf balik itu uang angsuran motor anak saya. hati"" saja dan tandai no. hp di atas untuk antisipasi, mudah""an tidak ada lagi korban"" lainnya."
2024-01-01,"hallo guys, please pay attention for this! aku membagikan cerita ini supaya bisa jadi pelajaran buat teman-teman. jujur, aku gak tahu ini adalah modus penipuan baru atau sudah lama. satu yang pasti, aku mau berbagi supaya jika ada yang belum tahu tidak menjadi korban penipuan. jadi, ceritanya hari ini aku baru saja install olx untuk jual beberapa barang elektronik dan peralatan rumah tangga. selesai aku posting foto dan keterangan, aku dapat pemberitahuan pesan. lalu, aku buka dan baca. ada orang yang ternyata minat dengan barang yang aku jual. singkat cerita, pindahlah kami ke whatsapp dan inilah percakapan kami nah, sampai di sini aku sudah mulai curiga. kok bilang sudah transfer tapi tidak masuk mutasi rekening. setelah itu, di penipu ini masih terus ngotot dan telepon aku sambil menjelaskan apa yang harus aku lakukan. dia tuh bilang, di transfer melalui oneklik. jujur, aku belum pernah melakukan transaksi melalui oneklik. jadi, aku memutuskan untuk ke bank bca terdekat. soalnya aku curiga dan tidak mau ditipu. sampai di bank bca aku ceritain kan kronologinya dan benar saja kalau itu modus penipuan. pokoknya gak boleh diaktivasi karena itu akan menyedot saldo perbulannya. selama di bank bca si penipu ini masih terus hubungi aku. kebetulan aku emang malas angkat telepon jadi aku gak terhipnotis ketika angkat telepon. aku juga malas menanggapi, jadi aku langsung blokir saja. selang bebeberapa jam, ternyata ada lagi yang chat di olx dan minta move juga ke whatsapp. firasatku orang kedua ini sama dengan yang pertama alias penipu. eh, benar saja ternyata modusnya sama persis. gagal deh si penipu dapat uang haram haha. puji tuhan aku terhindar dari penipuan. menurutku sih ini modus baru atau sudah ada yang pernah mengalami? semoga teman-teman bisa belajar dari pengalamanku ini ya. hati-hati terhadap orang-orang yang tidak dikenal dan kalau gak tahu lebih banyak tanya ke pihak berwajib. jika kalian mau ada jual beli dan perlu nomor handphone, lebih baik punya dua nomor supaya tidak mengganggu nomor utama kalian. note: aku mengizinkan teman-teman untuk membagikan jawaban ini ke manapun. supaya tidak ada korban penipuan modus ini."
2025-01-01,"modus di video ini, jujur saya baru tahu. modus kehilangan iphone dan lokasi difind my deviceada di rumah korban. jadi di video ini dijelaskan modusnya ada sekitar 5 orang datang, bilang hp iphone nya hilang dan titik hilangnya ada di rumah korban. kebetulan penghuni rumah yang pertama ditemui adalah ibu rumah tangga yang kurang begitu paham teknologi. orang tersebut meminta untuk dilakukan penggeledahan seluruh isi rumah. beruntung di rumah tersebut ada penghuni lain (pria di gambar paling atas) yang pintar menangani kejadian seperti ini. ditemuilah pelaku tersebut. si pelaku secara langsung menunjukkan lokasi hilangnya iphone ada di rumah tersebut menggunakan iphone lain. penghuni tersebut dengan tegas menolak dilakukan penggeledahan. penghuni itu pun mencoba menawarkan bantuan menggunakan ipad nya untuk login ke icloud menggunakan akun pelaku, dan memanfaatkan fiturplay soundsehingga hp pelaku yang hilang bisa berbunyi dengan nyaring, dan mengajak satu pelaku untuk mengitari seluruh ruangan rumah. lucunya, pelaku menolak karena katanya akun dia hanya bisa login di hp dia sendiri. ini jelas titik janggalnya, karena icloud itu bisa login di manapun, bahkan di android juga bisa. bahkan pelaku terus mengancam dan tidak mau tahu hpnya harus ketemu saat itu juga, jika tidak ketemu pelaku meminta ganti rugi seharga hp yang hilang ke pemilik rumah. ini juga janggal lagi. karena terus menolakplay sounddan tidak ketemu titik tengahnya, akhirnya pelaku minta izin untuk membuat laporan kehilangan ke kantor polisi dan dia mengatakan akan kembali lagi ke rumah itu. namun setelah ditunggu berjam-jam,pelaku tidak pernah kembali ke rumah tersebut dan menghilang. hati-hati ya. menurut saya ini modus pencurian. jika modusnya berhasil, kelima pelaku bisa saja masuk bersamaan untuk menggeledah isi rumah, karena kurangnya pengawasan mungkin saja mereka ikut mengambil barang-barang berharga lain di rumah tersebut. pelaku sengaja datang pagi hari dimana orang-orang yang mengerti teknologi sudah berangkat kerja dan menyisakan ibu rumah tangga/orang tua. beruntung kejadian di video tersebut penghuninya paham sehingga pelaku gagal melakukan aksinya. edukasikan ke keluarga kalian semoga tidak ada korban lainnya. sekian terima kasih."
2025-01-01,"sebenarnya saya bingung harus cerita mulai dari mana dan harus lapor ke siapa. . . . jadi beberapa waktu yang lalu, saya menemani istri antar katering ke sekolah. selesai antar katering, kami berdua makan di salah satu rumah makan. tempatnya nyaman. jadi makan sekalian refreshing. ilustrasi google. bukan lokasi sebenarnya. . . . selesai makan, istri bilang ingin nyetir. ya sudah, akhirnya istri yg menyetir mobil. sambil jalan, saya minta istri untuk ke mampir sebentar ke atm, ""beb, nanti berhenti dulu sebelum perempatan ya. mas mau tarik atm dulu."",kata saya sambil nunjuk ke atm yang dimaksud. . ""mang mau tarik tunai berapa sih ?"" . ""sekian ratus."" . ""udah gak usah. aku ada kok di dompet. mas transfer aja ke aku (buat gantiin duitnya)."" . . ya sudah, saya pun transfer ke rek istri sesuai nominal yang mau saya ambil. . . . beberapa kilometer sebelum sampai rumah, istri mampir dulu ke penjual ayam potong. mumpung lewat, buat besok menu katering. . . . baru beberapa ratus meter jalan, istri kembali mampir. kali ini ke toko frozen food. sekalian lewat , kata istri. . . . dan setelah jalan lagi, sebelum sampai rumah, istri kembali mampir. kali ini ke toko sembako, buat beli beras, minyak goreng, dll. tentu saja buat besok menu katering. . . . akhirnya kami pun sampai rumah. setelah saya keluarkan semua belanjaan di mobil, saya mau balik lagi ke toko. tak lupa saya minta uang yang saya transfer tadi, ""beb, uangnya mana ?"". . . ""uang apaan ?"" . . ""ya uang yang tadi, yang mas transfer di mobil."" . . ""ya habis lah. mang mas gak liat tadi aku mampir beli ayam, sosis, beras, dll buat katering ?"" . . ""lha. tapi kan ."" . . . ""mas, aku tuh katering sekalian masakin buat kamu. masakin buat anak kita bla.bla. bla. bla ."" . . . akhirnya selesai istri ngoceh, ujung-ujungnya saya tarik tunai lagi di atm. . . pelajaran untuk para suami, jika mau tarik tunai di bank bini, pastikan uang sudah kita terima terlebih dahulu, sebelum kita transfer. jangan dibalik."
